id;categoria;descrizione;disponibilita;immagine_url;nome;prezzo
1;ARTICOLI VARI;12 Pezzi;true;prodotti\ARTICOLI VARI F2-P1-T1\bottigliette.jpg;BOTTIGLIETTE;3.5
2;ARTICOLI VARI;;true;prodotti\ARTICOLI VARI F2-P1-T1\CANDELINA MAGICA 30 CM.jpg;CANDELINA MAGICA 30 CM;5
3;ARTICOLI VARI;;true;prodotti\ARTICOLI VARI F2-P1-T1\CANDELINA MAGICA 38 CM.jpg;CANDELINA MAGICA 38 CM;10
4;ARTICOLI VARI;;true;prodotti\ARTICOLI VARI F2-P1-T1\fiorellino.jpg;FIORELLINO;1.5
5;ARTICOLI VARI;;true;prodotti\ARTICOLI VARI F2-P1-T1\libellula.jpg;LIBELLULA;3
6;ARTICOLI VARI;;true;prodotti\ARTICOLI VARI F2-P1-T1\LUPI SPAZIALI.jpg;LUPI SPAZIALI;10
7;ARTICOLI VARI;;true;prodotti\ARTICOLI VARI F2-P1-T1\MORNING GLORY.jpg;MORNING GLORY;1
8;ARTICOLI VARI;;true;prodotti\ARTICOLI VARI F2-P1-T1\palline_fumogene.jpg;PALLINE_FUMOGENE;2
9;ARTICOLI VARI;;true;prodotti\ARTICOLI VARI F2-P1-T1\pipistrelli_giganti.jpg;PIPISTRELLI_GIGANTI;6.5
10;ARTICOLI VARI;;true;prodotti\ARTICOLI VARI F2-P1-T1\pistole.jpg;PISTOLE;4
11;ARTICOLI VARI;;true;prodotti\ARTICOLI VARI F2-P1-T1\poppop.jpg;POPPOP;0.5
12;ARTICOLI VARI;;true;prodotti\ARTICOLI VARI F2-P1-T1\poppopbig.jpg;POPPOPBIG;1
13;ARTICOLI VARI;;true;prodotti\ARTICOLI VARI F2-P1-T1\STELLINA 28 CM.jpg;STELLINA 28 CM;1.5
14;ARTICOLI VARI;;true;prodotti\ARTICOLI VARI F2-P1-T1\STELLINA 37.5 CM.jpg;STELLINA 37.5 CM;2.5
15;BATTERIE CAL.20;PIASTRA 100 LANCI CAL.20;true;prodotti\BATTERIE\CAL. 20\100lanci_20.jpg;100 LANCI;50
16;BATTERIE CAL.20;PIASTRA 16 LANCI CAL.20;true;prodotti\BATTERIE\CAL. 20\16lanci_20.jpg;16 LANCI;10
17;BATTERIE CAL.20;PIASTRA 200 LANCI CAL.20;true;prodotti\BATTERIE\CAL. 20\200lanci_20.jpg;200 LANCI;150
18;BATTERIE CAL.20;PIASTRA 25 LANCI CAL.20;true;prodotti\BATTERIE\CAL. 20\25lanci_20.jpg;25 LANCI;15
19;BATTERIE CAL.20;PIASTRA 50 LANCI CAL.20;true;prodotti\BATTERIE\CAL. 20\49lanci_20.jpg;50 LANCI;30
20;BATTERIE CAL.25;PIASTRA 49 LANCI CAL. 25;true;prodotti\BATTERIE\CAL. 25\PIRATE.jpg;PIRATE;70
21;BATTERIE CAL.25;PIASTRA 49 LANCI CAL. 25;true;prodotti\BATTERIE\CAL. 25\PRIMITIVE.jpg;PRIMITIVE;70
